"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773702803220001","Сварная 
конструкция 
верхней 
перекрывающей 
пластины 
батарейного ящика","2",""
"2","1040004565","Болт M10×30-8.8-DKL","4","GB/T5783"
"3","1040201860","Гайка M10","4","QC/T608"
"4","00773702803401040","Тяга батареи II","2",""
"5","00773702803401030","Прижимная планка батареи II","1",""
"6","1040300735","Шайба 6-200HV","2","GB/T96.1"
"7","1040201896","Гайка M6-8","2","GB/T889.1"
"8","00773702803401010","Подставка электродвигателя","1",""
"9","1040102429","Винт M4×8","20","GB/T70.3"
"10","1101000164","Металлическая защелка","4",""
"11","1040201772","Гайка M4-A2-70","8","GB/T6170"
"12","1040200304","Гайка M6-8","4","GB/T889"
"13","1040302487","Шайба 6-200HV","4","GB/T97.1"
"14","1040004645","Болт M6×25-8.8","4","GB/T5783"
"15","1040200503","Гайка M8-8","8","GB/T889.1"
"16","1040302480","Шайба 8-200HV","8","GB/T96.1"
"17","00773702803201031","Тяга батареи I Φ8","8",""
"18","00773702803201011","Передняя 
перегородка 
батарейного ящика","2",""
"19","00773702803410001","Главная 
сварная 
конструкция 
правого корпуса бака","1",""
"20","00773702803210001","Главная 
сварная 
конструкция 
главого корпуса бака","1",""
