"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"12","1020700951","/","1","Клапан подъема 
башенной 
стрелы"
"13","1020700951","/","1","Клапан подъема 
основной стрелы"
"14","1020404399","Лампа предупреждения работы","1",""
"15","1029902115","Оболочка","1","GPS"
"","1020701496","Зажим","1",""
"16","1020700951","/","1","Резерв для 
освещения"
"17","1020703391","Оболочка","1","Вставной модуль 
контактного 
кольца 1"
"","1020700957","Оболочка","1","Штекерный 
разъем"
"18","1020700440","Оболочка","1","Вставной модуль 
контактного 
кольца 2"
"","1020700942","Оболочка","1","Штекерный 
разъем"
"19","1029805416","Контактное кольцо","1",""
"20","1020304982","Аварийный зуммер","1",""
