"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"31","00773400300001210","Подшип.","8",""
"32","00773700300400001","Стрела выдвижения-втягивания","1",""
"33","00773700301000000","Верхний гидроцилиндр 
выравнивания","1",""
"34","00773700301200000","Гидроцилиндр 
выдвижения-втягивания","1",""
"35","00773700300001100","Подпирающая плита 
гидроцилиндра 
выдвижения-втягивания","1",""
"36","1040004520","Болт M8×30-8.8","2","GB/T5783"
"37","00773700301400000","Верхняя противопылевая щетка","1",""
"38","1040300771","Шайба 6-200HV","39","GB/T97.1"
"39","1040001640","Болт M6×25-A2-70","8","GB/T5783"
"40","00773700301800000","Боковая противопылевая щетка","2",""
"41","00773700301600000","Нижняя противопылевая щетка","1",""
"42","1040201896","Гайка M6-8","8","GB/T889.1"
"43","00773700300200001","Основная стрела","1",""
"44","00773400300001070","Подшип.","6",""
"45","00773700300600000","Гидроцилиндр изменения 
вылета верхней стрелы","1",""
"46","1040002446","Болт M16×40-8.8","1","GB/T5783"
"47","00773400400001250","Стопорный штифт","1",""
"48","00773700300001030","Штифт III","1",""
"49","1040004553","Болт M6×35-8.8","4","GB/5783"
"50","1040300735","Шайба 6-200HV","12","GB/T96.1"
"51","00773700300001190","Перекрышка трубопровода","2",""
"52","1040103133","Винт M6×30-A2-70","8","GB/T70.3"
"53","00773700300001140","Прижимная планка 
трубопровода","2",""
"54","00773700300001240","Гнездо резиновой трубы","2",""
"55","1040005844","Болт M6×10-A2-70","20","GB/T5783"
"56","1040300771","Шайба 6-200HV","39","GB/T97.1"
