"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773702803220001","Сварная 
конструкция 
верхней 
перекрывающей 
пластины 
батарейного ящика","2",""
"2","1040004565","Болт M10×30-8.8","4","GB/T5783"
"3","1040201860","Гайка M10","4","QC/T608"
"4","00773702803401040","Тяга батареи II","2",""
"5","1040102429","Винт M4×8","20","GB/T70.3"
"6","1101000164","Металлическая защелка","4",""
"7","1040201772","Гайка M4-A2-70","8","GB/T6170"
"8","1040200304","Гайка M6-8","4","GB/T889"
"9","1040302487","Шайба 6-200HV","4","GB/T97.1"
"10","1040004645","Болт M6×25-8.8","4","GB/T5783"
"11","1040200503","Гайка M8-8","8","GB/T889.1"
"12","1040302480","Шайба 8-200HV","8","GB/T96.1"
"13","00773702803201031","Тяга батареи I","8",""
"14","00773702803201011","Передняя 
перегородка 
батарейного ящика","2",""
"15","00773702803410001","Главная 
сварная 
конструкция 
правого корпуса бака","1",""
"16","00773702803210001","Главная 
сварная 
конструкция 
главого корпуса бака","1",""
