"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1040201902","Гайка M6-8","12","GB/T802"
"2","1040300771","Шайба 6-200HV","32","GB/T97.1"
"3","00773400100201010","Перегородка I","1",""
"4","00773400100260020","Защитный кожух","1",""
"5","1040200503","Гайка M8-8","2","GB/T889.1"
"6","00773400100261050","Подшип.","2",""
"7","1040302480","Шайба 8-200HV","4","GB/T96.1"
"8","00773400100261060","Болт φ22","2",""
"9","00773406200210000","Электрический  шкаф 
управления 
платформой в сборе","1",""
"10","1040004508","Болт M10×45-8.8","4","GB/T5783"
"11","1040302489","Прокладка 10-200HV","8","GB/T97.1"
"12","00773406300201030","Резиновая прокладка","2",""
"13","1040200504","Гайка M10-8","4","GB/T889.1"
"14","1040004553","Болт M6×35-8.8","3","GB/T5783"
"15","1040201896","Гайка M6-8","7","GB/T889.1"
"16","00773406300201010","Прокладка Tp2","3",""
"17","1020521022","Педальный 
переключатель","1",""
"18","00773400100210000","Сварная 
конструкция 
платформы","1",""
"19","1040004556","Болт M12×35-8.8","10","GB/T16674.1"
"20","1040301031","Прокладка 12-300HV","2","GB/T96.1"
"21","1040004570","Болт M16×30-8.8","4","GB/T5783"
"22","1040302513","Шайба 16-200HV","4","GB/T96.1"
"23","00773400100420000","Сварная 
деталь 
кронштейна","1",""
"24","1040004619","Болт M8×35-8.8","4","GB/T5783"
"25","1040301515","Шайба 8-200HV","6","GB/T97.1"
