"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1040201904","Гайка M5-8","8","GB/T889.1"
"2","1040300514","Шайба 5-200HV","8","GB/T97.1"
"3","00773700700001070","Переходная плита","1",""
"4","00773700700001011","Труба прямоугольного сечения","1",""
"5","00773700700001100","Подкладка","1",""
"6","1040103076","Винт M8×16-8.8","4","GB/T70.3"
"7","00773700700001081","Тягово-сцепной механизм","1",""
"7A","1109900986","Соединитель буксируемой цепи I 
E4.421.12.1.1","1",""
"7B","1109900987","Соединитель  буксируемой  цепи 
II E4.421.12.1.2","1",""
"7C","1109900988","Внешняя  боковая  пластина  цепи 
E4.42.01","35",""
"7D","1109900990","Внутренняя 
боковая 
пластина 
цепи E4.42.02.075.0","35",""
"7E","1109900991","Горизонтальная 
перегородка 
цепи 385.12","70",""
"7F","1109900993","Вертикальная перегородка цепи 
  42.1","35",""
"8","1040102751","Винт M5×25-8.8","4","GB/T70.1"
"9","1040004519","Болт M8×25-8.8","4","GB/T5783"
"10","1040301515","Шайба 8-200HV","10","GB/T97.1"
"11","1040302480","Шайба 8-200HV","4","GB/T96.1"
"12","1040200503","Гайка M8-8","11","GB/T889.1"
"13","00773700700400000","Кронштейн","1",""
"14","00773400700001030","Нейлоновый блок","1",""
"15","1040102737","Винт M8×30-8.8","3","GB/T70.1"
"16","00773400700001020","Гнездо резиновой трубы","1",""
"17","00773400700001050","Изогнутая монтажная панель","1",""
"18","1040004557","Болт M8×50-8.8","2","GB/T16674.1"
"19","1040005925","Болт M5×80","4","GB/T5782"
"20","00773700700001060","Верхняя труба","4",""
