"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773700400800000","Верхний 
нажимный 
стержень","2",""
"2","00773700400400000","Нижняя тяга","2",""
"3","00773700400001130","Подшип.","4",""
"4","1040004672","Болт M5×10-8.8","20","GB/T5783"
"5","1040302529","Шайба 5","20","GB/T96.1"
"6","00773700400001300","Перекрышка 
трубопровода I","2",""
"7","1040000135","Болт M8×55","8","GB/T5783"
"8","1040301515","Шайба 8","8","GB/T97.1"
"9","00773700400001390","Перегородка I","4",""
"10","00773700400001350","Трубный зажим I","2",""
"11","00773700400001360","Трубный зажим II","2",""
"12","00773700400200000","Нижний 
нажимный 
стержень","1",""
"13","00773400300001070","Подшип.","8",""
"14","00773700400001320","Перекрышка 
трубопровода II","1",""
"15","1089900652","Уплотнительная лента","1",""
"16","00773700400001330","Перекрышка 
трубопровода III","1",""
"17","00773700400001020","Штифт II","2",""
"18","00773400400001250","Стопорный штифт","2",""
"19","1040002445","Болт M16×35-8.8","2","GB/T5783"
"20","00773700401000000","Нижняя стойка","1",""
"21","1040101995","Винт M10×30-8.8","6","GB/T70.1"
"22","00773700400001260","Вкладыш","2",""
"23","00773700400001270","Защитная пластина I","2",""
"24","1040102761","Винт M10×20-8.8","8","GB/T70.1"
"25","1040004499","Болт M20×45-8.8","2","GB/T5783"
"26","00773400400001170","Стопорный штифт","2",""
"27","00773700400001040","Штифт IV","2",""
"28","00771400600001070","Подшип.","8",""
